food,Energy,Carbs,Protein,Fiber,Fat,Sugar,Fat (mono),Fat (poly),Fat (sat),Cholesterol,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Sodium,Zinc,Thiamin (B1),Riboflavin (B2),Niacin (B3),Pantothenic acid (B5),Pyridoxine (B6),Folate (B9),Cobalmins (B12),Vitamin A,Vitamin C,Vitamin D (D2 + D3),Vitamin E,Cystine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Threonine,Tryptophan,Tyrosine,Valine,Lycopene,Lutein + zeaxanthin,alpha-Carotene,beta-Carotene,beta-Cryptoxanthin,Vitamin K
"Peas, green, frozen, unprepared",199.5,13.62,5.22,4.5,0.4,5.0,0.033,0.175,0.066,0.0,22.0,0.124,1.53,26.0,0.336,82.0,153.0,1.9,108.0,0.82,0.259,0.1,1.723,0.547,0.083,53.0,0.0,103.0,18.0,0.0,0.02,0.031,0.102,0.187,0.311,0.305,0.079,0.192,0.195,0.036,0.109,0.226,0.0,2352.0,20.0,1225.0,0.0,27.9
"Kale, raw",80.2,4.42,2.92,4.1,1.49,0.895,0.104,0.673,0.178,0.0,254.0,0.053,1.6000000000000003,32.9,0.92,55.0,348.0,0.9,53.0,0.38999999999999996,0.113,0.347,1.18,0.37,0.147,62.0,0.0,241.0,93.40000000000002,0.0,0.66,0.038,0.172,0.175,0.205,0.175,0.029,0.15,0.131,0.035,0.103,0.159,0.0,6260.333333333333,0.0,2871.0,27.0,389.8666666666666
"Spinach, raw",47.666666666666664,3.63,2.86,2.2,0.39,0.42,0.01,0.165,0.063,0.0,99.0,0.13,2.71,79.0,0.897,49.0,558.0,1.0,79.0,0.53,0.078,0.189,0.724,0.065,0.195,194.0,0.0,469.0,28.1,0.0,2.03,0.035,0.064,0.147,0.223,0.174,0.053,0.129,0.122,0.039,0.108,0.161,0.0,12198.0,0.0,5626.0,0.0,
"Lettuce, cos or romaine, raw",43.833333333333336,3.2566666666666664,1.2366666666666666,1.9000000000000001,0.2733333333333334,1.19,0.012,0.16,0.039,0.0,34.333333333333336,0.04800000000000001,0.9566666666666667,13.799999999999999,0.13633333333333333,30.0,251.0,0.4000000000000001,8.0,0.24333333333333332,0.07666666666666666,0.07033333333333333,0.3196666666666667,0.144,0.07666666666666666,78.66666666666667,0.0,436.0,4.3999999999999995,0.0,0.1366666666666667,0.006000000000000001,0.021,0.045000000000000005,0.076,0.064,0.014333333333333332,0.06566666666666666,0.043666666666666666,0.010666666666666666,0.024333333333333335,0.055,0.0,2310.6666666666665,0.0,5228.666666666667,0.0,
"Chard, swiss, raw",49.0,3.74,1.8,1.6,0.2,1.1,0.04,0.07,0.03,0.0,51.0,0.179,1.8,81.0,0.366,46.0,379.0,0.9,213.0,0.36,0.04,0.09,0.4,0.172,0.099,14.0,0.0,306.0,30.0,0.0,1.89,,0.036,0.147,0.13,0.099,0.019,0.11,0.083,0.017,,0.11,0.0,11000.0,45.0,3647.0,0.0,
"Arugula, raw",65.0,3.65,2.58,1.6,0.66,2.05,0.049,0.319,0.086,0.0,160.0,0.076,1.46,47.0,0.321,52.0,369.0,0.3,27.0,0.47,0.044,0.086,0.305,0.437,0.073,97.0,0.0,119.0,15.0,0.0,0.43,,,,,,,,,,,,0.0,3555.0,0.0,1424.0,0.0,
"Collards, raw",65.66666666666667,5.42,3.02,4.0,0.61,0.46,0.03,0.201,0.055,0.0,232.0,0.046,0.47,27.0,0.658,25.0,213.0,1.3,17.0,0.21,0.054,0.13,0.742,0.267,0.165,129.0,0.0,251.0,35.3,0.0,2.26,0.025,0.047,0.1,0.151,0.117,0.033,0.087,0.086,0.031,0.066,0.12,0.0,4323.0,14.0,2991.0,28.0,
"Lettuce, iceberg (includes crisphead types), raw",36.0,2.97,0.9,1.2,0.14,1.97,0.006,0.074,0.018,0.0,18.0,0.025,0.41,7.0,0.125,20.0,141.0,0.1,10.0,0.15,0.041,0.025,0.123,0.091,0.042,29.0,0.0,25.0,2.8,0.0,0.18,0.005,0.009,0.018,0.025,0.024,0.005,0.023,0.025,0.009,0.007,0.024,0.0,277.0,4.0,299.0,0.0,
"Beet greens, raw",45.333333333333336,4.33,2.2,3.7,0.13,0.5,0.026,0.046,0.02,0.0,117.0,0.191,2.57,70.0,0.391,41.0,762.0,0.9,226.0,0.38,0.1,0.22,0.4,0.25,0.106,15.0,0.0,316.0,30.0,0.0,1.5,0.021,0.034,0.046,0.098,0.064,0.018,0.058,0.065,0.035,0.052,0.065,0.0,1503.0,3.0,3794.0,0.0,
"Mustard greens, raw",56.0,4.67,2.86,3.2,0.42,1.32,0.092,0.038,0.01,0.0,115.0,0.165,1.64,32.0,,58.0,384.0,0.9,20.0,0.25,0.08,0.11,0.8,0.21,0.18,12.0,0.0,151.0,70.0,0.0,2.01,,,,,,,,,,,,0.0,3730.0,10.0,1790.0,40.0,
