Shrt_Desc,Energy,Carbs,Fat,Protein,Fiber,Sugars,Monounsaturated fat,Polyunsaturated fat,Saturated fat,Cholesterol,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Sodium,Zinc,Vitamin B1 (Thiamin),Vitamin B2 (Riboflavin),Vitamin B3 (Niacin),Vitamin B4 (Panthothenic acid),Vitamin B6,Vitamin B9 (Folate),Vitamin B12,"Vitamin A, IU",Vitamin A,Vitamin C,Vitamin D (D2 + D3),"Vitamin D (D2 + D3), International Units",Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),Lycopene,Lutein + zeaxanthin,"Carotene, alpha","Carotene, beta",Retinol,"Cryptoxanthin, beta"
"Cabbage, raw",64.0,5.8,0.1,1.28,2.5,3.2,0.017,0.017,0.034,0.0,40.0,0.019,0.47,12.0,0.16,26.0,170.0,0.3,18.0,0.18,0.061,0.04,0.23399999999999999,0.212,0.124,43.0,0.0,98.0,5.0,36.6,0.0,0.0,0.15,76.0,0.0,30.0,33.0,42.0,0.0,0.0
"Beans, black turtle, mature seeds, raw",878.0,63.25,0.9,21.25,15.5,2.12,0.078,0.387,0.23199999999999998,0.0,160.0,1.0,8.7,160.0,1.0,440.0,1500.0,3.2,9.0,2.2,0.9,0.193,1.955,0.899,0.28600000000000003,444.0,0.0,17.0,0.0,0.0,0.0,0.0,0.21,5.6,0.0,0.0,0.0,0.0,0.0,0.0
"Lentils, raw",912.5,63.35,1.06,24.63,10.7,2.03,0.193,0.526,0.154,0.0,35.0,0.754,6.51,47.0,1.393,281.0,677.0,0.1,6.0,3.27,0.873,0.21100000000000002,2.605,2.14,0.54,479.0,0.0,39.0,2.0,4.5,0.0,0.0,0.49,5.0,0.0,0.0,0.0,23.0,0.0,0.0
"Lentils, pink or red, raw",928.0,63.1,2.17,23.91,10.8,,0.5,1.137,0.379,0.0,48.0,1.3030000000000002,7.39,59.0,1.716,294.0,668.0,0.0,7.0,3.6,0.51,0.106,1.495,0.348,0.40299999999999997,204.0,0.0,58.0,3.0,1.7,0.0,0.0,,,,,0.0,35.0,0.0,0.0
"Beans, snap, green, raw",81.0,6.97,0.22,1.83,2.7,3.26,0.01,0.113,0.05,0.0,37.0,0.069,1.03,25.0,0.21600000000000003,38.0,211.0,0.6,6.0,0.24,0.08199999999999999,0.10400000000000001,0.7340000000000001,0.225,0.141,33.0,0.0,690.0,35.0,12.2,0.0,0.0,0.41,43.0,0.0,640.0,69.0,379.0,0.0,0.0
"Soybeans, green, raw",380.5,11.05,6.8,12.95,4.2,,1.284,3.2,0.7859999999999999,0.0,197.0,0.128,3.55,65.0,0.547,194.0,620.0,1.5,15.0,0.99,0.435,0.175,1.65,0.147,0.065,165.0,0.0,180.0,9.0,29.0,0.0,0.0,,,,,,,0.0,
"Beans, pinto, mature seeds, sprouted, raw",160.5,11.6,0.9,5.25,,,0.067,0.523,0.109,0.0,43.0,0.32,1.97,53.0,0.366,94.0,307.0,0.6,153.0,0.5,0.23,0.175,2.28,0.74,0.171,118.0,0.0,2.0,0.0,21.7,0.0,0.0,,,,,,,0.0,
"Beans, snap, yellow, raw",80.0,7.13,0.12,1.82,3.4,3.27,0.005,0.059000000000000004,0.026000000000000002,0.0,37.0,0.069,1.04,25.0,0.214,38.0,209.0,0.6,6.0,0.24,0.084,0.105,0.752,0.094,0.07400000000000001,37.0,0.0,108.0,,16.3,0.0,0.0,0.41,43.2,,,,,0.0,
"Beans, adzuki, mature seeds, raw",853.0,62.9,0.53,19.87,12.7,,0.05,0.113,0.191,0.0,66.0,1.094,4.98,127.0,1.73,381.0,1254.0,3.1,5.0,5.04,0.455,0.22,2.63,1.4709999999999999,0.35100000000000003,622.0,0.0,17.0,1.0,0.0,0.0,0.0,,,,,,,0.0,
"Beans, black, mature seeds, raw",883.0,62.36,1.42,21.6,15.5,2.12,0.12300000000000001,0.61,0.366,0.0,123.0,0.841,5.02,171.0,1.06,352.0,1483.0,3.2,5.0,3.65,0.9,0.193,1.955,0.899,0.28600000000000003,444.0,0.0,17.0,0.0,0.0,0.0,0.0,0.21,5.6,0.0,0.0,0.0,0.0,0.0,0.0
"Beans, black turtle, mature seeds, raw",878.0,63.25,0.9,21.25,15.5,2.12,0.078,0.387,0.23199999999999998,0.0,160.0,1.0,8.7,160.0,1.0,440.0,1500.0,3.2,9.0,2.2,0.9,0.193,1.955,0.899,0.28600000000000003,444.0,0.0,17.0,0.0,0.0,0.0,0.0,0.21,5.6,0.0,0.0,0.0,0.0,0.0,0.0
"Beans, cranberry (roman), mature seeds, raw",868.5,60.05,1.23,23.03,24.7,,0.106,0.527,0.316,0.0,127.0,0.794,5.0,156.0,0.92,372.0,1332.0,12.7,6.0,3.63,0.747,0.213,1.455,0.748,0.309,604.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,0.0,
"Beans, french, mature seeds, raw",889.0,64.11,2.02,18.81,25.2,,0.138,1.207,0.221,0.0,186.0,0.44,3.4,188.0,1.2,304.0,1316.0,12.9,18.0,1.9,0.535,0.221,2.083,0.789,0.401,399.0,0.0,8.0,0.0,4.6,0.0,0.0,,,,,,,0.0,
"Beans, navy, mature seeds, raw",874.0,60.75,1.5,22.33,15.3,3.88,0.128,0.873,0.17,,147.0,0.8340000000000001,5.49,175.0,1.4180000000000001,407.0,1185.0,11.0,5.0,3.65,0.775,0.16399999999999998,2.188,0.7440000000000001,0.428,364.0,0.0,0.0,0.0,,0.0,0.0,0.02,2.5,0.0,0.0,0.0,0.0,0.0,0.0
"Beans, kidney, all types, mature seeds, raw",863.0,60.01,0.83,23.58,24.9,2.23,0.064,0.457,0.12,0.0,143.0,0.958,8.2,140.0,1.021,407.0,1406.0,3.2,24.0,2.79,0.529,0.21899999999999997,2.06,0.78,0.397,394.0,0.0,0.0,0.0,4.5,0.0,0.0,0.22,19.0,0.0,0.0,0.0,0.0,0.0,0.0
"Beans, pink, mature seeds, raw",889.0,64.19,1.13,20.96,12.7,2.14,0.098,0.48700000000000004,0.292,0.0,130.0,0.81,6.77,182.0,1.376,415.0,1464.0,13.0,8.0,2.55,0.772,0.192,1.892,0.997,0.527,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,5.7,0.0,0.0,0.0,0.0,0.0,0.0
"Beans, pinto, mature seeds, raw",899.5,62.55,1.23,21.42,15.5,2.11,0.22899999999999998,0.40700000000000003,0.235,0.0,113.0,0.893,5.07,176.0,1.148,411.0,1393.0,27.9,12.0,2.28,0.713,0.212,1.1740000000000002,0.785,0.474,525.0,0.0,0.0,0.0,6.3,0.0,0.0,0.21,5.6,0.0,0.0,0.0,0.0,0.0,0.0
"Beans, small white, mature seeds, raw",871.0,62.25,1.18,21.11,24.9,,0.102,0.507,0.304,0.0,173.0,0.635,7.73,183.0,1.278,445.0,1542.0,12.8,12.0,2.81,0.743,0.207,1.3419999999999999,0.7290000000000001,0.439,386.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,
"Beans, white, mature seeds, raw",863.0,60.27,0.85,23.36,15.2,2.11,0.07400000000000001,0.364,0.21899999999999997,0.0,240.0,0.9840000000000001,10.44,190.0,1.796,301.0,1795.0,12.8,16.0,3.67,0.43700000000000006,0.146,0.479,0.732,0.318,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,5.6,0.0,0.0,0.0,0.0,0.0,0.0
"Soybeans, mature seeds, raw",1156.0,30.16,19.94,36.49,9.3,7.33,4.404,11.255,2.884,0.0,277.0,1.6580000000000001,15.7,280.0,2.517,704.0,1797.0,17.8,2.0,4.89,0.8740000000000001,0.87,1.6230000000000002,0.7929999999999999,0.377,375.0,0.0,22.0,1.0,6.0,0.0,0.0,0.85,47.0,0.0,0.0,0.0,13.0,0.0,0.0
