Shrt_Desc,Energy,Carbs,Fat,Protein,Fiber,Sugars,Monounsaturated fat,Polyunsaturated fat,Saturated fat,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Sodium,Zinc,Vitamin B1 (Thiamin),Vitamin B2 (Riboflavin),Vitamin B3 (Niacin),Vitamin B4 (Pantothenic acid),Vitamin B6,Vitamin B9 (Folate),Vitamin B12,Vitamin A,Vitamin C,Vitamin D (D2 + D3),Vitamin E,Vitamin K,Cystine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Threonine,Tryptophan,Tyrosine,Valine,Lycopene,Lutein + zeaxanthin,alpha-Carotene,beta-Carotene,beta-Cryptoxanthin,Category
"Lettuce, iceberg (includes crisphead types), raw",1.6,1.5,0.2,1.6,3.2,7.9,0.0,0.3,0.1,1.8,2.8,5.1,1.7,5.4,2.9,3.0,0.2,0.7,1.4,3.4,1.9,0.8,1.8,3.2,7.2,0.0,2.8,4.7,0.0,1.2,20.1,0.8,0.9,1.4,0.9,0.9,0.8,2.0,1.8,2.6,0.6,1.4,0.0,2.3,0.5,6.6,0.0,greens
"Beet greens, raw",2.6,2.2,0.2,3.9,9.7,2.0,0.1,0.2,0.1,11.7,21.2,32.1,16.7,17.0,5.9,16.2,1.6,15.1,3.5,8.3,16.9,2.5,5.0,8.2,3.8,0.0,35.1,50.0,0.0,10.0,333.3,3.2,3.5,3.5,3.3,2.4,2.7,5.0,4.6,10.0,4.5,3.9,0.0,12.5,0.4,84.3,0.0,greens
"Mustard greens, raw",3.2,2.3,0.6,5.1,8.4,5.3,0.4,0.2,0.0,11.5,18.3,20.5,7.6,,8.3,8.2,1.6,1.3,2.3,6.7,8.5,5.0,4.2,13.8,3.0,0.0,16.8,116.7,0.0,13.4,214.6,,,,,,,,,,,,0.0,31.1,1.2,39.8,13.3,greens
"Cabbage, chinese (pak-choi), raw",1.5,1.1,0.3,2.7,2.6,4.7,0.1,0.4,0.1,10.5,2.3,10.0,4.5,6.9,5.3,5.4,0.9,4.3,1.7,3.3,5.4,3.1,1.8,14.9,16.5,0.0,24.8,75.0,0.0,0.6,37.9,2.6,2.7,6.4,3.0,3.3,1.4,3.8,3.5,4.3,2.5,3.9,0.0,0.3,0.1,59.6,0.0,greens
"Cabbage, raw",2.9,2.9,0.2,2.3,6.6,12.8,0.1,0.1,0.2,4.0,2.1,5.9,2.9,7.0,3.7,3.6,0.5,1.2,1.6,5.1,3.1,1.5,4.2,9.5,10.8,0.0,0.6,61.0,0.0,1.0,63.3,1.7,2.2,2.3,1.4,1.7,1.8,2.8,2.5,3.1,1.6,2.5,0.0,0.2,4.1,0.9,0.0,greens
"Beans, black turtle, mature seeds, raw",39.9,31.6,1.4,37.9,40.8,8.5,0.4,1.8,1.2,16.0,111.1,108.7,38.1,43.5,62.9,31.9,5.8,0.6,20.0,75.0,14.8,12.2,18.0,22.0,111.0,0.0,0.0,0.0,0.0,1.4,4.7,34.7,60.4,70.5,57.7,54.8,48.1,99.5,63.9,72.0,51.8,66.2,0.0,0.0,0.0,0.0,0.0,legumes
"Lentils, raw",41.5,31.7,1.6,44.0,28.2,8.1,0.9,2.4,0.8,3.5,83.8,81.4,11.2,60.6,40.1,14.4,0.2,0.4,29.7,72.8,16.2,16.3,42.8,41.5,119.8,0.0,0.2,7.5,0.0,3.3,4.2,48.4,70.7,80.1,60.7,64.7,31.6,105.2,63.0,63.1,57.0,72.8,0.0,0.0,0.0,0.5,0.0,legumes
"Lentils, pink or red, raw",42.2,31.6,3.3,42.7,28.4,,2.3,5.2,1.9,4.8,144.8,92.4,14.0,74.6,42.0,14.2,0.0,0.5,32.7,42.5,8.2,9.3,7.0,31.0,51.0,0.0,0.3,2.8,0.0,,,49.2,71.6,81.1,61.5,65.4,31.9,106.5,63.9,63.7,57.7,73.7,,,0.0,0.8,0.0,legumes
"Beans, snap, green, raw",3.7,3.5,0.3,3.3,7.1,13.0,0.0,0.5,0.2,3.7,7.7,12.9,6.0,9.4,5.4,4.5,1.1,0.4,2.2,6.8,8.0,4.6,4.5,10.8,8.2,0.0,3.9,20.3,0.0,2.7,35.8,2.7,3.5,5.0,3.8,3.3,3.3,5.8,5.6,5.4,3.6,5.4,0.0,5.3,8.6,8.4,0.0,legumes
"Soybeans, green, raw",17.3,5.5,10.5,23.1,11.1,,5.8,14.5,3.9,19.7,14.2,44.4,15.5,23.8,27.7,13.2,2.7,1.0,9.0,36.2,13.5,10.3,2.9,5.0,41.2,0.0,1.0,48.3,0.0,,,17.7,35.5,42.9,31.5,29.1,23.6,50.7,36.9,44.9,40.2,34.3,,,,,,legumes
"Beans, pinto, mature seeds, sprouted, raw",7.3,5.8,1.4,9.4,,,0.3,2.4,0.5,4.3,35.6,24.6,12.6,15.9,13.4,6.5,1.1,10.2,4.5,19.2,13.5,14.2,14.8,13.2,29.5,0.0,0.0,36.2,0.0,,,9.0,15.0,17.5,12.8,11.2,8.3,22.9,15.7,15.7,15.7,16.1,,,,,,legumes
"Beans, adzuki, mature seeds, raw",38.8,31.4,0.8,35.5,33.4,,0.2,0.5,1.0,6.6,121.6,62.3,30.2,75.2,54.4,26.7,5.6,0.3,45.8,37.9,16.9,16.4,29.4,27.0,155.5,0.0,0.1,0.0,0.0,,,27.7,53.5,59.5,56.7,56.3,31.6,91.1,48.1,54.6,51.2,60.9,,,,,,legumes
"Beans, black, mature seeds, raw",40.1,31.2,2.2,38.6,40.8,8.5,0.6,2.8,1.8,12.3,93.4,62.7,40.7,46.1,50.3,31.6,5.8,0.3,33.2,75.0,14.8,12.2,18.0,22.0,111.0,0.0,0.0,0.0,0.0,1.4,4.7,35.3,61.3,71.7,58.7,55.8,48.9,101.1,64.9,73.1,52.6,67.3,0.0,0.0,0.0,0.0,0.0,legumes
"Beans, kidney, all types, mature seeds, raw",39.2,30.0,1.3,42.1,65.5,8.9,0.3,2.1,0.6,14.3,106.4,102.5,33.3,44.4,58.1,29.9,5.8,1.6,25.4,44.1,16.8,12.9,15.6,30.5,98.5,0.0,0.0,7.5,0.0,1.5,15.8,38.5,66.9,78.3,64.0,60.8,53.4,110.4,70.9,79.7,57.5,73.4,0.0,0.0,0.0,0.0,0.0,legumes
"Beans, pinto, mature seeds, raw",40.9,31.3,1.9,38.2,40.8,8.4,1.0,1.8,1.2,11.3,99.2,63.4,41.9,49.9,58.7,29.6,50.7,0.8,20.7,59.4,16.3,7.3,15.7,36.5,131.2,0.0,0.0,10.5,0.0,1.4,4.7,28.1,56.7,65.5,53.0,51.0,38.9,94.8,57.9,67.7,37.0,59.4,0.0,0.0,0.0,0.0,0.0,legumes
"Beans, small white, mature seeds, raw",39.6,31.1,1.8,37.7,65.5,,0.5,2.3,1.5,17.3,70.6,96.6,43.6,55.6,63.6,32.8,23.3,0.8,25.5,61.9,15.9,8.4,14.6,33.8,96.5,0.0,0.0,0.0,0.0,,,34.6,60.0,70.1,57.3,54.5,47.7,98.8,63.4,71.4,51.4,65.7,,,,,,legumes
"Soybeans, mature seeds, raw",52.5,15.1,30.7,65.2,24.5,29.3,20.0,51.2,14.4,27.7,184.2,196.2,66.7,109.4,100.6,38.2,32.4,0.1,44.5,72.8,66.9,10.1,15.9,29.0,93.8,0.0,0.1,10.0,0.0,5.7,39.2,98.5,111.9,148.2,112.6,101.7,82.3,183.7,126.1,168.9,133.2,120.8,0.0,0.0,0.0,0.3,0.0,legumes
"Broadbeans (fava beans), mature seeds, raw",40.1,29.1,2.4,46.6,65.8,22.8,1.4,2.8,1.3,10.3,91.6,83.8,45.7,70.7,60.1,22.6,14.9,0.9,28.5,46.3,25.6,17.7,19.5,28.2,105.8,0.0,0.3,2.3,0.0,0.3,7.5,50.2,67.8,79.2,66.8,62.8,32.0,95.5,66.3,70.6,71.6,69.1,0.0,0.0,0.0,0.7,0.0,legumes
"Peas, green, raw",9.5,7.2,0.6,9.7,15.0,22.7,0.2,0.8,0.4,2.5,19.6,18.4,7.9,17.8,15.4,5.2,3.3,0.3,11.3,22.2,10.2,13.1,2.1,13.0,16.2,0.0,4.2,66.7,0.0,0.9,20.7,4.8,10.9,14.7,11.0,11.9,12.3,17.3,14.5,10.6,9.9,14.0,0.0,20.6,2.6,10.0,0.0,legumes
"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw",44.5,31.5,9.3,36.6,32.1,42.8,6.3,12.4,3.0,5.7,72.9,53.9,18.8,926.3,36.0,15.3,0.0,1.6,25.1,39.8,16.3,9.6,31.8,41.2,139.2,0.0,0.3,6.7,0.0,5.5,7.5,42.0,57.8,66.3,49.8,51.8,40.6,95.5,54.7,57.1,44.3,51.5,0.0,0.0,0.0,0.9,0.0,legumes
"Peas, green, split, mature seeds, raw",42.8,30.8,6.0,41.3,58.4,12.6,2.8,4.6,2.0,4.6,89.9,59.1,15.0,51.7,47.7,18.1,19.5,0.3,31.7,59.9,18.8,22.6,19.2,10.8,3.8,0.0,0.8,3.0,0.0,0.8,13.2,41.1,59.8,73.9,57.1,66.6,29.3,99.7,58.1,45.4,44.8,61.6,0.0,0.0,0.0,2.0,0.0,legumes
"Nuts, brazilnuts, dried, unblanched",77.6,5.9,103.2,25.6,19.7,9.3,108.5,110.9,80.7,16.0,193.7,30.4,89.5,53.2,103.6,14.0,3485.5,0.2,36.9,51.4,2.7,1.8,3.7,7.8,5.5,0.0,0.0,1.2,0.0,37.7,0.0,46.0,41.7,38.9,40.5,18.4,169.0,55.3,26.1,38.6,36.0,45.2,0.0,0.0,0.0,0.0,0.0,nuts
"Nuts, cashew nuts, raw",65.2,15.1,67.5,32.5,8.7,23.6,108.2,35.7,38.9,3.7,243.9,83.5,69.5,72.0,84.7,14.0,36.2,0.8,52.5,35.2,4.5,6.6,17.3,32.1,6.2,0.0,0.0,0.8,0.0,6.0,28.4,59.1,46.5,59.3,50.1,34.9,54.4,82.3,49.1,82.0,44.0,65.1,0.0,0.2,0.0,0.0,0.0,nuts
"Nuts, hazelnuts or filberts",74.0,8.4,93.5,26.7,25.5,17.4,207.5,36.0,22.3,11.4,191.7,58.8,38.8,268.5,41.4,14.5,4.4,0.0,22.3,53.6,8.7,11.2,18.4,43.3,28.2,0.0,0.1,10.5,0.0,100.2,11.8,41.7,44.1,41.0,36.2,15.8,33.2,57.4,35.5,55.1,31.3,41.7,0.0,0.8,0.4,0.2,0.0,nuts
"Nuts, macadamia nuts, raw",84.6,6.9,116.6,14.1,22.6,18.3,267.6,6.8,60.3,8.5,84.0,46.1,31.0,179.6,26.9,7.8,6.5,0.3,11.8,99.6,12.5,15.5,15.2,21.2,2.8,0.0,0.0,2.0,0.0,3.6,,0.9,19.9,23.6,20.5,0.7,3.5,57.6,26.4,19.1,44.2,21.6,,,,,,nuts
"Nuts, pine nuts, dried",79.3,6.5,105.2,24.4,9.7,14.4,85.3,154.9,24.5,1.6,147.1,69.1,59.8,382.7,82.1,12.7,1.3,0.1,58.6,30.3,17.5,27.4,6.3,7.2,8.5,0.0,0.1,1.3,0.0,62.2,44.9,43.5,34.8,40.8,33.7,20.3,38.9,45.4,26.4,30.6,44.1,40.9,0.0,0.1,0.0,0.4,0.0,nuts
"Nuts, pistachio nuts, raw",66.0,13.6,69.7,36.0,27.9,30.6,105.7,65.4,29.5,10.5,144.4,49.0,28.8,52.2,70.0,21.8,12.7,0.1,20.0,72.5,12.3,8.1,10.4,130.8,12.8,0.0,2.9,9.3,0.0,19.1,,43.9,52.2,68.9,54.6,42.8,54.1,94.5,48.9,71.7,44.1,74.3,,24.2,1.2,6.8,0.0,nuts
